Word,Meaning,Meaning Only
Abrasive,Rough; causing irritation; harsh,Rough; causing irritation; harsh
Abreast,"Being up to particular standard or level especially in being up to date in knowledge ex:\""kept abreast of the latest developments\""",Being up to particular standard or level especially in being up to date in knowledge 
Activism,The practice of pursuing political or other goals,The practice of pursuing political or other goals
Adumbrate,"Describe roughly or briefly or give the main points or summary of ex:\""I adumbrated that I did not like his wife\""",Describe roughly or briefly or give the main points or summary of 
Aerie,The lofty nest of a bird of prey (such as a hawk or eagle),The lofty nest of a bird of prey (such as a hawk or eagle)
Affected,Fake acting; have effect,Fake acting; have effect
Affluenza,"An extreme form of materialism resulting from the excessive desire for material goods ex:\"" Neologism for american\'s desire for electronic goods is Affluenza\""",An extreme form of materialism resulting from the excessive desire for material goods 
Albeit,Although ex:The village head is illiterate albeit very intelligent,Although 
Alienate,Causing hostility;,Causing hostility;
Amortize,"Gradually paying off debt Ex:\""Amortize your mortgage over a loan period based on your input\""",Gradually paying off debt 
Amulet,Talisman,Talisman
Anachronism,something wrong happened in the past Ex:Did you catch the anachronisms set in the latest blockbuster set in the Ancient Greece?,something wrong happened in the past 
Analgesia,Pain relief ex:Natural birth advocates reject Analgesia in child birth,Pain relief 
Anoint,Treat as divine; apply oil or ointment,Treat as divine; apply oil or ointment
Antagonize,Hostility; unfriendly,Hostility; unfriendly
Antedate,"Be earlier in time;  go back further Ex:\""Stone tools antedate bronze tools\""",Be earlier in time;  go back further 
Antithetical,Directly opposed Ex:Partying hard is antithetical to one\'s performance in exams,Directly opposed 
Apocryphal,Of questionable authenticity,Of questionable authenticity
Apostate,Person who deserts Party or religion or cause Ex: Some people consider freedom fighters as Apostate,Person who deserts Party or religion or cause 
Apostle,Pioneer of a reform moment Ex:Rubens is the Apostle of Mediterrian diet,Pioneer of a reform moment 
Approbation,Formal praise or approval. Ex:She won approbation from er peers,Formal praise or approval. 
Appropriate,Take for one\'s own use ex: Principal appropriated Flood relief fund for personal use,Take for one\'s own use 
Arbiter,Judge. Ex:Professional mediator arbitrate disputes,Judge. 
Arcane,secret; hidden,secret; hidden
Ascetic,Person who leads austere life,Person who leads austere life
Asperity,harshness; rough Ex:Asperity of cheap sweater/asperity of principal for not attending college,harshness; rough 
Assail,Attack Ex:Assail the enemy,Attack 
Assiduous,"Persevering; diligent; sedulous; consistent efforts. Ex:\""her assiduous attempts to learn French\"";",Persevering; diligent; sedulous; consistent efforts. 
